year,institution_type,facility_type_a,public_private,no_of_facilities,no_beds,sector,facility_type_b
2014,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,101,"",""
2014,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2015,Hospital,Acute,Public,9,8128,"",""
2015,Hospital,Acute,Not-for-Profit,1,316,"",""
2015,Hospital,Acute,Private,9,1400,"",""
2015,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2015,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2015,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2015,Hospital,Community Hospitals,Public,3,503,"",""
2015,Hospital,Community Hospitals,Not-for-Profit,4,961,"",""
2015,Hospital,Community Hospitals,Private,0,0,"",""
2015,Residential Long-Term,Nursing Homes,Public,11,2488,"",""
2015,Residential Long-Term,Nursing Homes,Not-for-Profit,26,5802,"",""
2015,Residential Long-Term,Nursing Homes,Private,34,3895,"",""
2015,Residential Long-Term,Inpatient Hospices,Public,0,40,"",""
2015,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,101,"",""
2015,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2016,Hospital,Acute,Public,9,8561,"",""
2016,Hospital,Acute,Not-for-Profit,1,316,"",""
2016,Hospital,Acute,Private,9,1441,"",""
2016,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2016,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2016,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2016,Hospital,Community Hospitals,Public,3,690,"",""
2016,Hospital,Community Hospitals,Not-for-Profit,4,961,"",""
2016,Hospital,Community Hospitals,Private,1,12,"",""
2016,Residential Long-Term,Nursing Homes,Public,13,3110,"",""
2016,Residential Long-Term,Nursing Homes,Not-for-Profit,26,6058,"",""
2016,Residential Long-Term,Nursing Homes,Private,30,3854,"",""
2016,Residential Long-Term,Inpatient Hospices,Public,0,24,"",""
2016,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,149,"",""
2016,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2017,Hospital,Acute,Public,9,8623,"",""
2017,Hospital,Acute,Not-for-Profit,1,271,"",""
2017,Hospital,Acute,Private,8,1446,"",""
2017,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2017,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2017,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2017,Hospital,Community Hospitals,Public,3,690,"",""
